Name,Type,Reviews,No_of_Reviews,Menu,Price_Range,Vegan,Vegetarian
Obao," Vietnamese, Fusion, Vegetarian Friendly",4.5,349,Check The Website for a Menu,Medium,False,True
Piccola Cucina Estiatorio," Italian, Seafood, Mediterranean",4.5,166,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Estiatorio-2018-compressed.pdf,Medium,False,False
Top of The Falls Restaurant," American, Vegetarian Friendly, Vegan Options",4.0,747,Check The Website for a Menu,Medium,True,True
China Palace," Chinese, Asian",4.5,32,Check The Website for a Menu,Medium,False,False
Great China," Chinese, Asian, Vegetarian Friendly",4.5,67,Check The Website for a Menu,Medium,False,True
ROYAL WARSAW," Polish, European, Eastern European",4.5,129,Check The Website for a Menu,Medium,False,False
Wingcraft Kitchen and Beer Bar," American, Bar, Pub",4.5,280,http://www.wingcraftac.com/#menu-section,Medium,False,False
Red's Place," American, Bar, Pub",4.0,134,https://www.redsplaceithaca.com/wp-content/uploads/2019/07/Summer-Menu-2019.pdf,Medium,False,False
Silver Diner," American, Diner, Vegetarian Friendly",4.0,224,https://www.silverdiner.com/menu/appetizers,Medium,False,True
Carousel Restaurant & Bistro," American, French, International",4.5,138,Check The Website for a Menu,Pricey,False,False
Blue Point Grill," American, Seafood, Vegetarian Friendly",4.5,861,Check The Website for a Menu,Medium,False,True
Executive Surf Club, American,4.0,233,Check The Website for a Menu,Cheap,False,False
Rumba Cubana - Clifton," Latin, Cuban, Caribbean",4.5,56,http://www.rumbacubana.com/clifton/food-and-restaurants-regular-menu,Medium,False,False
Arlene's," American, Cafe, Vegetarian Friendly",4.5,114,Check The Website for a Menu,Medium,False,True
Bottagra," Italian, Vegetarian Friendly, Vegan Options",4.5,111,Check The Website for a Menu,Pricey,True,True
Purple Room Supper Club," American, Bar, Contemporary",4.5,1207,https://www.purpleroompalmsprings.com/dining,Medium,False,False
Time Out Ale House," American, Bar, Pub",4.5,26,http://www.timeoutalehouse.com/menu.aspx,Medium,False,False
Naruto Ramen," Japanese, Asian, Soups",4.5,190,Check The Website for a Menu,Cheap,False,False
Outback Steakhouse," American, Steakhouse",4.0,125,Check The Website for a Menu,Medium,False,False
Betty's," American, Vegetarian Friendly, Vegan Options",4.5,372,Check The Website for a Menu,Medium,True,True
Texas Roadhouse," American, Steakhouse",4.5,96,http://www.texasroadhouse.com/menu,Medium,False,False
Whistle Stop Ale House," American, Bar, Pub",4.0,156,Check The Website for a Menu,Medium,False,False
Scott's Seafood Restaurant," American, Seafood, Vegetarian Friendly",4.0,574,Check The Website for a Menu,Pricey,False,True
Istanbul Grill &Bar," Mediterranean, Turkish, Vegetarian Friendly",4.5,114,http://www.istanbulgrillbar.com/menu,Medium,False,True
Kenny's Wood Fired Grill," American, Bar, Vegetarian Friendly",4.5,1406,http://kennyswoodfiredgrill.com/wp-content/uploads/2019/07/Restaurant-Week-Menu-KWFG-2019.pdf,Medium,False,True
Umami Burger," American, Bar, Vegetarian Friendly",4.5,339,Check The Website for a Menu,Medium,False,True
Piero's PizzaVino," Italian, Vegetarian Friendly, Vegan Options",4.5,636,https://www.ppizzavino.com/menus,Medium,True,True
Brick Oven," Italian, Pizza",4.5,25,https://brickovenbrick.com/menus/,Medium,False,False
Boucherie West Village," French, Steakhouse, Vegetarian Friendly",4.5,1085,Check The Website for a Menu,Medium,False,True
Jimmy Mac's Roadhouse," American, Steakhouse, Bar",4.0,323,https://www.jimmymacsroadhouse.com/menu/,Medium,False,False
Cracker Barrel," American, Vegetarian Friendly",4.0,115,Check The Website for a Menu,Medium,False,True
Burma Superstar," Asian, Burmese, Vegetarian Friendly",4.5,401,Check The Website for a Menu,Medium,False,True
Ruth's Chris Steak House," American, Steakhouse, Gluten Free Options",4.5,303,Check The Website for a Menu,Pricey,False,False
Masraff's," American, Seafood, Vegan Options",4.5,384,Check The Website for a Menu,Pricey,True,False
Coltivare," American, Vegetarian Friendly, Vegan Options",4.0,186,Check The Website for a Menu,Medium,True,True
Belotti Ristorante E Bottega," Italian, European, Vegetarian Friendly",4.5,149,Check The Website for a Menu,Medium,False,True
Hoffbrau Steak & Grill House - Amarillo," American, Steakhouse, Bar",4.0,659,Check The Website for a Menu,Medium,False,False
Boston's Restaurant & Sports Bar," Italian, American, Bar",4.0,264,http://www.bostons.com/menu,Medium,False,False
Sri Siam," Asian, Thai, Vegetarian Friendly",4.5,94,Check The Website for a Menu,Medium,False,True
Shore Good Pancake House, Cafe,4.5,39,Check The Website for a Menu,Medium,False,False
Truluck's Seafood," American, Seafood, Gluten Free Options",4.5,283,Check The Website for a Menu,Pricey,False,False
Rory Dolan's Restaurant," Irish, Italian, American",4.5,247,Check The Website for a Menu,Medium,False,False
Allen Burger Venture," American, Bar, Pub",4.5,166,Check The Website for a Menu,Medium,False,False
Henry's Ocean View Dining," Steakhouse, Seafood",5.0,7,Check The Website for a Menu,Medium,False,False
Tavern on the Square," American, Bar, Pub",3.5,108,Check The Website for a Menu,Medium,False,False
Toutant," American, Cajun & Creole, Vegetarian Friendly",4.5,197,Check The Website for a Menu,Medium,False,True
Pecan Grill at the Overton Hotel," American, Southwestern, Bar",4.5,417,https://www.overtonhotel.com/dining/,Medium,False,False
Dutch Kills Centraal," American, Bar, Gastropub",4.0,618,Check The Website for a Menu,Medium,False,False
Saltgrass Steak House," American, Gluten Free Options",4.0,392,http://www.saltgrass.com/menu.asp,Medium,False,False
The Ram Restaurant & Brewery," American, Bar, Pub",4.0,443,Check The Website for a Menu,Medium,False,False
Dirt Candy," American, Vegetarian Friendly, Vegan Options",4.5,353,Check The Website for a Menu,Medium,True,True
BO-beau kitchen + roof tap," American, Bar, Pub",4.5,184,Check The Website for a Menu,Medium,False,False
Buenos Aires," Steakhouse, Latin, Argentinean",4.5,424,Check The Website for a Menu,Medium,False,False
SoleLuna," Italian, Mediterranean, Vegetarian Friendly",4.5,89,http://solelunanyc.com/sample-page/#menu,Medium,False,True
Old Spaghetti Factory," Italian, Vegetarian Friendly",3.5,203,https://www.osf.com/menu/,Medium,False,True
Boca Bistro," Bar, Spanish, Vegetarian Friendly",4.5,605,Check The Website for a Menu,Medium,False,True
Sabroso! Mexican Grill," Mexican, Vegetarian Friendly",4.5,154,Check The Website for a Menu,Medium,False,True
Mei Jin Ramen," Japanese, Soups, Asian",4.5,144,http://meijinramen.net/menu,Medium,False,False
Casa Mia," Italian, Pizza, Vegetarian Friendly",4.0,76,http://www.casamiarestaurants.com/menus/,Medium,False,True
Duke's Seafood & Chowder," American, Seafood, Gluten Free Options",4.5,89,Check The Website for a Menu,Medium,False,False
Cappy's Restaurant," American, Contemporary, Vegetarian Friendly",4.5,574,Check The Website for a Menu,Medium,False,True
Texas De Brazil," Steakhouse, Brazilian, Vegetarian Friendly",4.5,594,Check The Website for a Menu,Pricey,False,True
A Touch of Naples Pizza & Pasta," Italian, Pizza",5.0,22,Check The Website for a Menu,Cheap,False,False
Midgley's Public House," American, Bar, Gluten Free Options",4.0,102,https://www.midgleyspublichouse.com/menus/,Medium,False,False
P.F. Chang's," Chinese, Asian",4.0,371,Check The Website for a Menu,Medium,False,False
Desperados - Dos," Mexican, Southwestern, Latin",4.5,123,Check The Website for a Menu,Medium,False,False
"Truluck's Seafood, Steak, and Crab House"," Steakhouse, American, Seafood",4.5,876,Check The Website for a Menu,Pricey,False,False
Ikea," Fast Food, Swedish, Scandinavian",4.0,102,Check The Website for a Menu,Cheap,False,False
Via Veneto Italian Ristorante, Italian,4.0,72,Check The Website for a Menu,Medium,False,False
Zaragoza Grill," Mexican, American, Bar",4.5,60,Check The Website for a Menu,Medium,False,False
Harry's Coffee Shop," American, Cafe, Diner",4.5,386,Check The Website for a Menu,Medium,False,False
Teresa Caffe," Italian, Pizza, Vegetarian Friendly",4.0,396,Check The Website for a Menu,Medium,False,True
Thai's Thumbz," Asian, Thai, Vegetarian Friendly",4.5,76,Check The Website for a Menu,Medium,False,True
The Cove on Harbor, Cafe,4.5,263,Check The Website for a Menu,Cheap,False,False
CUCINA urbana," Wine Bar, Italian, Vegetarian Friendly",4.5,924,Check The Website for a Menu,Medium,False,True
Decoy Bar," Chinese, Asian",4.5,188,http://www.decoynyc.com/menus/,Medium,False,False
Ivar's Mukilteo Landing," American, Seafood, Vegetarian Friendly",4.5,966,https://www.ivars.com/locations/mukilteo-landing#menus,Medium,False,True
Alpha Omega," Mediterranean, Greek, Middle Eastern",4.5,222,Check The Website for a Menu,Medium,False,False
White Bear," Asian, Chinese, Fast Food",4.5,30,Check The Website for a Menu,Cheap,False,False
McMenamins Mill Creek," American, Bar, Pub",3.5,73,Check The Website for a Menu,Medium,False,False
Tully's Good Times Erie Blvd," American, Bar, Pub",4.0,217,Check The Website for a Menu,Medium,False,False
Portugal Express," European, Portuguese",4.5,51,Check The Website for a Menu,Medium,False,False
Copleys On Palm Canyon," American, Contemporary, Vegetarian Friendly",4.5,948,Check The Website for a Menu,Pricey,False,True
Taqueria Jalisco," Mexican, Latin, Vegetarian Friendly",4.5,115,Check The Website for a Menu,Cheap,False,True
Patrizia's Of Staten Island," Italian, Vegetarian Friendly, Vegan Options",4.0,301,http://patriziasofbrooklyn.com/location/manhattan/#menus/,Medium,True,True
Yianni's Cafe," Cafe, Mediterranean, Greek",4.5,290,Check The Website for a Menu,Medium,False,False
John's Coffee Shop," American, Cafe, Diner",4.5,210,https://www.seamless.com/menu/johns-coffee-shop-823-2nd-ave-new-york/292498?utm_medium=grubhub-owned-menu-properties&utm_source=allmenus.com&utm_content=292498&utm_campaign=menu-page&affiliate=1079,Cheap,False,False
The Artist's Palate," American, Contemporary, Vegetarian Friendly",4.5,396,Check The Website for a Menu,Pricey,False,True
Eddie V's Prime Seafood," American, Seafood, Vegetarian Friendly",4.5,2282,Check The Website for a Menu,Pricey,False,True
Savor Creperie," Cafe, Vegetarian Friendly, Vegan Options",4.5,71,https://www.savorcreperie.com/menu/,Medium,True,True
Eddie's Napoli's V LLC," Italian, Pizza, Vegetarian Friendly",4.0,165,http://www.napolisofamarillo.com#our-menu,Medium,False,True
Scratch Sandwich Company," American, International, Deli",4.5,45,Check The Website for a Menu,Medium,False,False
Ziziki's - Travis Street," Mediterranean, Greek, Vegetarian Friendly",4.5,91,http://www.zizikis.com/menus,Medium,False,True
Crafted," Vegetarian Friendly, Vegan Options",4.5,58,http://craftedyakima.com/#menu,Medium,True,True
Bubba's 33," American, Bar, Pizza",4.0,125,http://www.bubbas33.com/menu,Medium,False,False
Bangkok West Thai," Asian, Thai, Vegetarian Friendly",4.5,130,Check The Website for a Menu,Medium,False,True
Parma Cucina Italiana," Italian, Northern-Italian, Vegetarian Friendly",4.5,1124,Check The Website for a Menu,Medium,False,True
Brix Wine Cafe," American, Wine Bar, Vegetarian Friendly",4.0,71,http://www.brixwinecafe.com/wp-content/uploads/2017/10/Dinner_Menu_3.21.19.pdf,Medium,False,True
Bleecker Street Pizza," Italian, Pizza, Fast Food",4.5,1439,Check The Website for a Menu,Cheap,False,False
Angelini Osteria," Italian, Vegetarian Friendly, Vegan Options",4.5,479,Check The Website for a Menu,Medium,True,True
Korea House," Asian, Korean, Vegetarian Friendly",4.5,45,http://eat24hrs.com/restaurants/order2/menu.php?id=54722,Medium,False,True
Sophie's Bistro," French, European, Vegetarian Friendly",4.5,304,http://www.sophiesbistro.net/menus.html,Medium,False,True
Cosimo's Trattoria & Bar," Italian, Pizza, Vegetarian Friendly",4.0,243,Check The Website for a Menu,Medium,False,True
Piccini Wood Fired Brick Oven," Italian, Pizza, Vegetarian Friendly",4.5,394,Check The Website for a Menu,Medium,False,True
El Meson," Mexican, Latin, Vegetarian Friendly",4.0,241,Check The Website for a Menu,Medium,False,True
Costa Messa Restaurant," Mexican, Southwestern, Latin",4.0,298,Check The Website for a Menu,Medium,False,False
The Capital Grille," American, Steakhouse, Gluten Free Options",4.5,345,Check The Website for a Menu,Pricey,False,False
Hiram's Roadstand," American, Fast Food",4.5,188,Check The Website for a Menu,Cheap,False,False
Outback Steakhouse," American, Steakhouse, Australian",4.0,708,Check The Website for a Menu,Medium,False,False
El Familiar," Mexican, Latin, Colombian",4.5,100,Check The Website for a Menu,Medium,False,False
Villa Amalfi," Italian, Vegetarian Friendly, Gluten Free Options",4.0,167,Check The Website for a Menu,Medium,False,True
Lucille's Smokehouse BBQ," American, Bar, Barbecue",4.0,267,Check The Website for a Menu,Medium,False,False
Aspen Creek Grill," American, Bar, Gluten Free Options",4.0,133,Check The Website for a Menu,Medium,False,False
Michael's on Naples," Italian, Vegetarian Friendly, Vegan Options",4.5,198,Check The Website for a Menu,Pricey,True,True
Smoking Pig BBQ Company," American, Barbecue, Gluten Free Options",4.0,606,Check The Website for a Menu,Medium,False,False
Cafe 43," American, Cafe, Vegetarian Friendly",4.5,263,Check The Website for a Menu,Medium,False,True
Reds Wine Bar," Wine Bar, Bar, Pub",4.0,37,http://www.redswinebar-kent.com/menu,Medium,False,False
Saltgrass Steak House," American, Steakhouse, Gluten Free Options",4.0,357,http://www.saltgrass.com/menu.asp,Medium,False,False
Sol Food Bar and Grill," Latin, Cuban, Central American",4.0,64,http://SolFoodEverett.com,Medium,False,False
Firehouse No.1," American, Bar",4.0,141,Check The Website for a Menu,Medium,False,False
Morton's The Steakhouse," American, Steakhouse, Gluten Free Options",4.5,557,http://www.mortons.com/menu/dinner/,Pricey,False,False
Perry's Steakhouse & Grille - Cinco Ranch," American, Steakhouse, Gluten Free Options",4.0,342,Check The Website for a Menu,Pricey,False,False
Delmonico's Italian Steakhouse," Italian, American, Vegetarian Friendly",4.5,684,https://delmonicositaliansteakhouse.com/menu-2/,Medium,False,True
Cyndia's," American, Vegetarian Friendly",4.5,35,Check The Website for a Menu,Medium,False,True
Raffi's Place Restaurant," Mediterranean, Middle Eastern, Persian",4.5,417,Check The Website for a Menu,Medium,False,False
Yosemite Ranch," American, Steakhouse, Bar",4.5,324,Check The Website for a Menu,Medium,False,False
Pure Thai Cookhouse," Asian, Thai, Vegetarian Friendly",4.5,1458,Check The Website for a Menu,Medium,False,True
Ram Restaurant & Brewery," American, Vegetarian Friendly, Vegan Options",4.0,278,Check The Website for a Menu,Medium,True,True
Manco & Manco Pizza," Italian, Pizza, Fast Food",4.0,276,https://mancospizza.com/ocean-city-menu/,Cheap,False,False
Carmine's Bellevue," Italian, Vegetarian Friendly, Gluten Free Options",4.5,113,http://www.carminesbellevue.com/#menu,Pricey,False,True
Huynh Restaurant," Asian, Vietnamese, Vegetarian Friendly",4.5,144,Check The Website for a Menu,Medium,False,True
Sandys Beach Shack," American, Vegetarian Friendly, Vegan Options",4.0,584,Check The Website for a Menu,Medium,True,True
Bonnie Ruth's Cafe Trottoir and Patisserie," French, European, Vegetarian Friendly",4.0,240,Check The Website for a Menu,Medium,False,True
Eques," American, Vegetarian Friendly, Vegan Options",4.5,170,https://www.hyatt.com/content/dam/hotel/propertysites/assets/regency/belle/documents/en_US/dining/eques/eques-menu.pdf,Medium,True,True
Viaggio Ristorante," Italian, Vegetarian Friendly, Vegan Options",4.5,125,https://viaggioristorante.com/our-menu/,Medium,True,True
Skinner's Loft," American, Bar, Vegetarian Friendly",4.0,161,Check The Website for a Menu,Medium,False,True
Shuckers Oyster Bar," American, Seafood, Vegetarian Friendly",4.5,973,Check The Website for a Menu,Medium,False,True
Tony's Burgers," American, Bar, Vegetarian Friendly",4.5,230,https://tonysburgers.com/menu/hamburgers/,Medium,False,True
Izumi," Japanese, Seafood, Sushi",4.5,106,Check The Website for a Menu,Medium,False,False
Noah's Ark," American, Kosher",4.0,46,http://www.noahsark.net/menus,Medium,False,False
Nuestro Mexico Restaurant," Mexican, Latin, Vegetarian Friendly",4.5,211,Check The Website for a Menu,Medium,False,True
The String Bean," American, Vegetarian Friendly, Gluten Free Options",4.0,109,Check The Website for a Menu,Medium,False,True
Vegetarian House," Asian, International, Vegan Options",4.5,92,Check The Website for a Menu,Medium,True,False
Genesee Brew House," American, Bar, Pub",4.5,807,Check The Website for a Menu,Medium,False,False
Petite Boucherie," French, Vegetarian Friendly, Vegan Options",4.5,503,Check The Website for a Menu,Medium,True,True
Cordi's Italian Gourmet," Italian, Vegetarian Friendly, Vegan Options",5.0,131,https://www.cordisitaliangourmet.com/cordis-italian-gourmet-menu,Medium,True,True
Taste of Texas Restaurant," American, Steakhouse, Vegetarian Friendly",4.5,3807,Check The Website for a Menu,Pricey,False,True
Cocotte," Spanish, French, European",4.5,290,https://www.cocotte.nyc,Medium,False,False
Pancetta," American, Vegetarian Friendly, Vegan Options",4.5,110,Check The Website for a Menu,Medium,True,True
Sofia's Mediterranean Grill," Mediterranean, Greek, Vegetarian Friendly",4.5,109,http://sofiasmediterraneangrill.com/menus/,Medium,False,True
Bob's Burgers and Brew," American, Bar, Vegetarian Friendly",4.0,345,https://www.bobsburgersandbrew.com/content/menu/menu.asp,Medium,False,True
East India Grill," Indian, Vegan Options, Vegetarian Friendly",4.5,130,Check The Website for a Menu,Medium,True,True
Woolworth Diner," American, Diner",4.5,61,Check The Website for a Menu,Cheap,False,False
Jasper's Bar B Que," Barbecue, American",5.0,45,http://www.jaspersbarbecue.com/menu.html,Medium,False,False
Deru Market," American, Cafe, Vegetarian Friendly",4.5,231,https://www.derumarket.com/2010/10/11/menu/,Medium,False,True
House Wine and Bistro," American, Wine Bar, International",4.5,241,Check The Website for a Menu,Medium,False,False
Parkside Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,477,Check The Website for a Menu,Medium,True,True
Top of Tacoma Bar and Cafe," American, Bar, Pub",4.5,100,Check The Website for a Menu,Cheap,False,False
Elbow Room," American, Bar, Grill",4.0,202,Check The Website for a Menu,Medium,False,False
Italian Prime At Salvatore's," Italian, American, Vegetarian Friendly",4.0,648,Check The Website for a Menu,Pricey,False,True
Nurnberger Bierhaus," German, Bar, European",4.5,99,Check The Website for a Menu,Medium,False,False
Thai Spice Restaurant," Asian, Thai, Vegetarian Friendly",4.0,238,Check The Website for a Menu,Medium,False,True
DiBella's Old Fashioned Submarines," American, Fast Food, Deli",4.5,283,http://www.dibellas.com/menu,Cheap,False,False
Lazy Dog Restaurant & Bar," American, Bar, Vegetarian Friendly",4.5,378,Check The Website for a Menu,Medium,False,True
Genwa Korean BBQ," Barbecue, Asian, Korean",4.5,190,Check The Website for a Menu,Medium,False,False
Uncle Will's Pancake House," American, Vegan Options, Vegetarian Friendly",4.5,393,Check The Website for a Menu,Medium,True,True
ButtercuP," American, Diner, Vegetarian Friendly",4.0,211,Check The Website for a Menu,Medium,False,True
Creme De La Crepe," French, Cafe, Vegetarian Friendly",4.5,228,Check The Website for a Menu,Medium,False,True
Royal India Restaurant," Indian, Vegetarian Friendly, Vegan Options",4.5,34,https://royalindiacuisine.com/menu/,Medium,True,True
Dusal's Italian Restaurant," Italian, Pizza, Vegetarian Friendly",4.5,84,Check The Website for a Menu,Medium,False,True
Dolly's Corner Cafe," American, Cafe, Diner",4.5,96,Check The Website for a Menu,Medium,False,False
Reunion Kitchen + Drink," American, Bar, Vegetarian Friendly",4.5,205,Check The Website for a Menu,Medium,False,True
144 Restaurant and Lounge," American, Bar, Vegetarian Friendly",4.0,241,Check The Website for a Menu,Medium,False,True
Bellos Pub and Grill," American, Bar, Pub",4.5,58,Check The Website for a Menu,Medium,False,False
Rafele," Italian, Neapolitan, Campania",4.5,1237,Check The Website for a Menu,Medium,False,False
Marri's Pizza & Italian," Italian, Pizza, Vegetarian Friendly",4.5,481,Check The Website for a Menu,Medium,False,True
Jasmine Thai Restaurant," Asian, Thai, Vegetarian Friendly",4.5,84,Check The Website for a Menu,Medium,False,True
BJ's Restaurant & Brewhouse," American, Bar, Vegetarian Friendly",4.0,124,Check The Website for a Menu,Medium,False,True
Red House Beer & Wine Shoppe," American, Wine Bar, Vegetarian Friendly",4.5,234,Check The Website for a Menu,Medium,False,True
Eddie V's Prime Seafood," American, Seafood, Grill",4.5,843,Check The Website for a Menu,Pricey,False,False
Famous Dave's Bar-B-Que," American, Barbecue",4.0,173,https://togo.famousdaves.com/menu/famous-daves-airway-blvd,Medium,False,False
Malaga Restaurant," Seafood, Mediterranean, Spanish",4.5,249,Check The Website for a Menu,Medium,False,False
Vic's," Pizza, Vegetarian Friendly, Vegan Options",4.5,62,https://www.vicspizzaoly.com/menu,Medium,True,True
Water’s Table," American, Vegetarian Friendly, Vegan Options",4.0,73,Check The Website for a Menu,Medium,True,True
Cactus," Mexican, Southwestern, Vegetarian Friendly",4.0,240,http://www.cactusrestaurants.com/menu/dinner/,Medium,False,True
Mona Lisa Cucina, Italian,4.5,63,Check The Website for a Menu,Medium,False,False
Addictive Wine & Tapas Bar," Spanish, Wine Bar, Vegetarian Friendly",5.0,25,http://www.addictivewinebar.com/tapas,Medium,False,True
Cascadia Grill," Steakhouse, American, Grill",4.5,104,http://www.cascadiagrill.com/menu.html,Medium,False,False
Blue Smoke Battery Park City," American, Bar, Barbecue",4.5,564,Check The Website for a Menu,Medium,False,False
Morton's The Steakhouse," American, Steakhouse",4.0,234,Check The Website for a Menu,Pricey,False,False
Agricola Eatery," American, Vegetarian Friendly, Vegan Options",4.0,728,https://www.agricolaeatery.com/menus/,Pricey,True,True
Max London's Restaurant + Bar," American, Vegetarian Friendly, Vegan Options",4.0,510,Check The Website for a Menu,Medium,True,True
Nathan's Famous," Fast Food, American",3.5,64,http://www.nathansfamous.com/restaurants/menu/,Cheap,False,False
The Cheesecake Factory," American, Vegetarian Friendly, Vegan Options",4.0,342,https://order.thecheesecakefactory.com/menu/cherry-hill-nj,Medium,True,True
Cinco De Mayo," Mexican, Latin, Vegetarian Friendly",4.5,113,http://www.cincodemayooc.com/?page=menu,Medium,False,True
III Forks Austin," American, Steakhouse, Gluten Free Options",4.5,326,Check The Website for a Menu,Pricey,False,False
Maggiano's Little Italy," Italian, Vegetarian Friendly, Vegan Options",4.0,738,Check The Website for a Menu,Medium,True,True
SriPraPhai," Asian, Thai, Vegetarian Friendly",4.5,301,Check The Website for a Menu,Medium,False,True
Siam Spice," Asian, Thai, Vegetarian Friendly",4.5,86,Check The Website for a Menu,Medium,False,True
Azzurro," Italian, Pizza, Vegetarian Friendly",4.5,34,Check The Website for a Menu,Medium,False,True
The Cheesecake Factory," American, Vegetarian Friendly, Vegan Options",4.0,691,https://order.thecheesecakefactory.com/menu/bellevue-wa,Medium,True,True
Margherita Pizza Incorporated," Pizza, Fast Food, Italian",5.0,37,Check The Website for a Menu,Cheap,False,False
J's Bar and Grill," Southwestern, American, Bar",4.5,99,http://www.jsbarandgrillamarillo.com/PDFs/dinner.pdf,Medium,False,False
Loi Estiatorio," Mediterranean, Greek, Seafood",4.5,535,http://www.loiestiatorio.com/dinner/,Medium,False,False
Chan," Bar, Asian, Korean",4.5,305,Check The Website for a Menu,Medium,False,False
Zachary's Chicago Pizza," Pizza, Italian, Vegetarian Friendly",4.5,722,Check The Website for a Menu,Medium,False,True
Toscano's Ristorante," Italian, Tuscan, Central-Italian",4.5,255,Check The Website for a Menu,Pricey,False,False
JT Schmid's Restaurant & Brewery," Steakhouse, American, Brew Pub",4.0,406,Check The Website for a Menu,Medium,False,False
IHOP," American, Vegetarian Friendly",4.0,278,Check The Website for a Menu,Cheap,False,True
Frasers Gourmet Hideaway," American, Seafood, International",4.5,244,Check The Website for a Menu,Pricey,False,False
Il Triangolo," Italian, Vegetarian Friendly, Gluten Free Options",4.5,132,Check The Website for a Menu,Medium,False,True
BJ's Restaurant & Brewhouse," American, Bar, Vegetarian Friendly",3.5,198,Check The Website for a Menu,Medium,False,True
Comfort Food," American, Vegan Options, Gluten Free Options",4.5,70,Check The Website for a Menu,Medium,True,False
It's Greek to Me," Mediterranean, Greek, Vegetarian Friendly",4.0,53,Check The Website for a Menu,Medium,False,True
Vitek's Market," American, Barbecue",4.5,363,Check The Website for a Menu,Cheap,False,False
Gus's Barbecue - South Pasadena," American, Barbecue, Gluten Free Options",4.5,277,Check The Website for a Menu,Medium,False,False
Lange's Delicatessen," American, Vegetarian Friendly",4.5,53,http://langesofbronxville.com/menu,Medium,False,True
Grande saloon," American, Bar, Pub",4.0,60,http://www.grandesaloon.com#mobile-menu,Medium,False,False
E&V Restaurant," Italian, Vegetarian Friendly",4.0,86,Check The Website for a Menu,Medium,False,True
Giorgio's Greek Cafe," Mediterranean, Greek, Vegetarian Friendly",4.5,113,Check The Website for a Menu,Medium,False,True
The Fish Friar," Seafood, American, Gluten Free Options",4.5,84,https://www.thefishfriar.com/menu,Medium,False,False
NINE-TEN Restaurant & Bar," American, Vegetarian Friendly, Vegan Options",4.5,633,Check The Website for a Menu,Pricey,True,True
Bin 5," Italian, Vegetarian Friendly, Vegan Options",4.5,106,http://Bin5nyc.com/menu-introduction,Medium,True,True
Seasons 52," American, Contemporary, Vegetarian Friendly",4.5,583,Check The Website for a Menu,Medium,False,True
Sip Thai Bistro," Asian, Thai, Vegetarian Friendly",4.5,44,Check The Website for a Menu,Medium,False,True
Aposto," Italian, Mediterranean, Vegetarian Friendly",4.5,39,http://www.ApostoRestaurant.com/ShowMenu.tpl?cart=156529923511568279,Medium,False,True
Biga on the Banks," American, International, Vegetarian Friendly",4.5,1512,Check The Website for a Menu,Pricey,False,True
Hungry Hunter Steakhouse," American, Steakhouse, Vegetarian Friendly",4.5,786,Check The Website for a Menu,Medium,False,True
Zorba's," Mediterranean, Greek, Vegetarian Friendly",4.5,40,http://www.zorbagreekeatery.com/zorba-menu.html,Medium,False,True
Pasion Tequila," Mexican, Latin, Vegetarian Friendly",4.5,74,http://pasion-tequila.com/menu/4338931,Medium,False,True
Angelina's Spaghetti House," Italian, Vegetarian Friendly",4.0,180,Check The Website for a Menu,Medium,False,True
Rio City Cafe," American, Bar, Vegetarian Friendly",4.0,615,Check The Website for a Menu,Medium,False,True
The Matador," Mexican, Bar, Vegetarian Friendly",4.0,255,Check The Website for a Menu,Medium,False,True
Libby's Lunch," American, Fast Food, Diner",4.5,102,Check The Website for a Menu,Cheap,False,False
Elmer's Restaurant - Palm Springs," American, Diner, Vegetarian Friendly",4.5,2290,https://eatatelmers.com/menu/,Medium,False,True
Pono Burger," Hawaiian, American, Vegetarian Friendly",4.5,508,Check The Website for a Menu,Medium,False,True
Tops Diner," American, Diner, Vegetarian Friendly",4.5,537,http://www.thetopsdiner.com/menus/,Medium,False,True
Russell's," American, Vegetarian Friendly, Gluten Free Options",4.5,265,Check The Website for a Menu,Pricey,False,True
Dinosaur Bar-B-Que," American, Bar, Barbecue",4.0,505,https://www.dinosaurbarbque.com/buffalo/menus/,Medium,False,False
Keenan's at the Pier," American, Seafood, International",4.0,322,Check The Website for a Menu,Medium,False,False
Hodad's," American, Bar, Vegetarian Friendly",4.5,2271,Check The Website for a Menu,Cheap,False,True
L'Opera Ristorante," Seafood, Italian, Wine Bar",4.5,406,Check The Website for a Menu,Pricey,False,False
Prime at Saratoga National Golf Club," Central American, American, Steakhouse",4.5,329,Check The Website for a Menu,Pricey,False,False
Olive Garden," Italian, Vegetarian Friendly, Vegan Options",4.0,73,Check The Website for a Menu,Medium,True,True
Piccola Cucina Osteria," Italian, Mediterranean, Neapolitan",4.5,2617,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,Medium,False,False
Prima Bistro," American, European, International",4.5,623,Check The Website for a Menu,Medium,False,False
Steiny's Pub," Bar, Pub, American",4.5,120,Check The Website for a Menu,Cheap,False,False
Golden Dawn Diner III," American, Diner, Vegetarian Friendly",4.5,75,http://www.goldendawnhamilton.com/menu.html,Medium,False,True
Local Greek," Greek, Mediterranean, Vegetarian Friendly",4.5,59,https://localgreeknj.com/wp-content/uploads/local-greek-everyday-menu-fall-2018.pdf,Medium,False,True
